circuit,delta,had_sc
Monza,0.0,False
Monza,0.0,False
Monza,1.199999999999818,True
Monza,0.0,False
Monza,2.7999999999992724,True
Spa,1.6000000000003638,True
Spa,0.0,True
Spa,0.0,False
Spa,0.0,False
Spa,0.4000000000005457,True
Spa,0.0,False
Spa,1.6000000000003638,True
Spa,1.5999999999985448,True
Spa,0.0,False
Spa,0.8000000000010914,True
Spa,0.0,False
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.0,False
Spa,1.6000000000003638,True
Spa,0.7999999999992724,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,1.199999999999818,True
Spa,2.0,True
Spa,0.0,False
Spa,0.0,False
Spa,0.4000000000005457,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,2.399999999999636,True
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.4000000000005457,True
Spa,1.5999999999994543,True
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.0,False
Spa,0.4000000000005457,True
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,1.2000000000007276,True
Spa,1.2000000000007276,True
Spa,0.0,False
Spa,1.6000000000003638,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,1.5999999999994543,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,True
Spa,1.5999999999985448,True
Spa,2.8000000000010914,True
Spa,0.0,False
Spa,0.0,False
Spa,0.8000000000001819,True
Spa,0.0,False
Spa,0.0,False
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.7999999999992724,True
Spa,1.6000000000003638,True
Spa,0.0,False
Spa,0.3999999999996362,True
Spa,0.0,True
Spa,0.0,False
Spa,1.6000000000003638,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,1.199999999999818,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,2.399999999999636,True
Spa,3.1999999999989086,True
Spa,0.0,False
Spa,2.0,True
Spa,0.0,False
Spa,0.0,False
Spa,1.6000000000003638,True
Spa,0.0,False
Spa,0.8000000000010914,True
Spa,0.0,False
Spa,0.0,False
Spa,0.3999999999996362,True
Spa,0.0,False
Spa,0.0,False
Spa,0.0,False
Spa,1.5999999999994543,True
Spa,0.0,True
Spa,0.0,True
Spa,0.0,False
Spa,0.8000000000001819,True
Spa,0.0,False
Spa,0.8000000000001819,True
Spa,0.0,True
Spa,0.0,True
Spa,0.0,False
Spa,0.0,False
Spa,1.199999999999818,True
Spa,1.5999999999985448,True
Spa,1.200000000001637,True
Spa,1.6000000000012733,True
Spa,1.2000000000007276,True
Spa,0.0,False
Spa,0.3999999999996362,True
Spa,0.3999999999996362,True
Spa,0.0,True
Spa,0.0,False
Spa,0.0,False
Spa,1.6000000000003638,True
